File name,psnr,num edge origin with sobel,num edge origin with canny,num edge with ALM and saliency,num edge paper method
3D_mFFEXL-401/IM-0001-0001.jpg,21.567858120221672,60085,14155,112813,9786
3D_mFFEXL-401/IM-0001-0004.jpg,21.268124542155174,60764,14338,114589,10033
3D_mFFEXL-401/IM-0001-0007.jpg,21.035810509755226,61786,14381,115294,10400
3D_mFFEXL-401/IM-0001-0010.jpg,21.043083001504932,62746,14654,114531,10763
3D_mFFEXL-401/IM-0001-0013.jpg,21.027510484935906,63446,14938,115567,11212
3D_mFFEXL-401/IM-0001-0016.jpg,20.886698859610796,64305,15000,116467,11309
3D_mFFEXL-401/IM-0001-0019.jpg,20.764510604634083,64828,15086,117309,11224
3D_mFFEXL-401/IM-0001-0022.jpg,20.925652885543307,65332,15105,117806,10825
3D_mFFEXL-401/IM-0001-0025.jpg,20.86077715816662,66422,15446,118553,11229
3D_mFFEXL-401/IM-0001-0028.jpg,20.732346610863736,67279,15709,119252,11523
3D_mFFEXL-401/IM-0001-0031.jpg,20.72303694924897,68157,15751,119620,11732
3D_mFFEXL-401/IM-0001-0034.jpg,20.46848278110163,68789,15603,120255,11999
3D_mFFEXL-401/IM-0001-0037.jpg,20.31493231641335,70093,16006,120942,12235
3D_mFFEXL-401/IM-0001-0040.jpg,20.313306482320623,70516,16407,121695,12373
3D_mFFEXL-401/IM-0001-0043.jpg,20.23072227091518,71362,16529,121558,12583
3D_mFFEXL-401/IM-0001-0046.jpg,20.05328932863796,72342,16993,121516,12764
3D_mFFEXL-401/IM-0001-0052.jpg,20.006614584255672,73988,18257,124170,13813
3D_mFFEXL-401/IM-0001-0055.jpg,20.087689662861457,74762,18253,124955,13610
3D_mFFEXL-401/IM-0001-0058.jpg,20.081575617741994,75274,17769,124747,13674
3D_mFFEXL-401/IM-0001-0061.jpg,20.1635333165838,75885,18255,125214,14087
3D_mFFEXL-401/IM-0001-0064.jpg,20.034029607998253,76864,18378,125214,14228
3D_mFFEXL-401/IM-0001-0067.jpg,20.031211654709633,77918,18464,125606,14377
3D_mFFEXL-401/IM-0001-0070.jpg,20.058391517150426,78610,18847,127698,14410
3D_mFFEXL-401/IM-0001-0073.jpg,19.914327328139297,79166,19415,128276,14705
3D_mFFEXL-401/IM-0001-0076.jpg,19.724229189798443,80191,19624,128102,15172
3D_mFFEXL-401/IM-0001-0079.jpg,19.787150483667943,80888,19780,128457,15363
3D_mFFEXL-401/IM-0001-0082.jpg,19.813882903167467,81701,20110,129664,15401
3D_mFFEXL-401/IM-0001-0085.jpg,19.884322674726118,82013,20124,130154,15145
3D_mFFEXL-401/IM-0001-0088.jpg,19.658014008931612,83212,20434,130394,15648
3D_mFFEXL-401/IM-0001-0091.jpg,19.517886245811678,83774,20998,130783,16223
3D_mFFEXL-401/IM-0001-0094.jpg,19.326417487050715,84508,21359,131698,16674
3D_mFFEXL-401/IM-0001-0097.jpg,19.21785665827668,85033,21815,132248,17261
3D_mFFEXL-401/IM-0001-0103.jpg,19.441678071058377,86368,22265,133071,17242
3D_mFFEXL-401/IM-0001-0106.jpg,19.306704949246004,87148,22627,133602,17317
3D_mFFEXL-401/IM-0001-0109.jpg,19.234021377070647,87674,22883,134030,17882
3D_mFFEXL-401/IM-0001-0112.jpg,19.008326866336752,88748,23200,134560,18277
3D_mFFEXL-401/IM-0001-0115.jpg,19.101470603001754,89351,23801,134974,18541
3D_mFFEXL-401/IM-0001-0118.jpg,18.986941599456085,90134,24251,135101,18929
3D_mFFEXL-401/IM-0001-0121.jpg,18.832355915337015,90861,24436,135164,19497
3D_mFFEXL-401/IM-0001-0124.jpg,18.81039822442944,91500,24697,135800,19692
3D_mFFEXL-401/IM-0001-0127.jpg,18.882915495788648,92134,24870,136824,19497
3D_mFFEXL-401/IM-0001-0130.jpg,18.847115024141626,92984,25317,137107,19821
3D_mFFEXL-401/IM-0001-0133.jpg,18.705296548240945,93674,25285,137190,19390
3D_mFFEXL-401/IM-0001-0136.jpg,18.596787443240068,94397,25615,137342,20050
3D_mFFEXL-401/IM-0001-0139.jpg,18.8423223354147,95232,25621,136710,19627
3D_mFFEXL-401/IM-0001-0142.jpg,18.8299466018275,95879,25586,136770,20032
3D_mFFEXL-401/IM-0001-0145.jpg,18.69957086087332,96933,25976,137368,20404
3D_mFFEXL-401/IM-0001-0148.jpg,18.614067855686862,97571,26238,137924,20227
3D_mFFEXL-401/IM-0001-0154.jpg,18.591906931127188,98931,26313,138703,20488
3D_mFFEXL-401/IM-0001-0157.jpg,18.56456574346799,99494,26805,139188,20602
3D_mFFEXL-401/IM-0001-0160.jpg,18.761813906383267,100204,26308,139385,20910
3D_mFFEXL-401/IM-0001-0163.jpg,18.95540317874761,101175,27196,139779,20592
3D_mFFEXL-401/IM-0001-0166.jpg,18.925376268667826,101741,27389,140186,21015
3D_mFFEXL-401/IM-0001-0169.jpg,18.825953733585628,102522,27880,140657,21462
3D_mFFEXL-401/IM-0001-0172.jpg,18.696139816511387,103190,28335,140375,21601
3D_mFFEXL-401/IM-0001-0175.jpg,18.716495895258006,103797,28576,140826,21908
3D_mFFEXL-401/IM-0001-0178.jpg,18.67547987263897,104475,28803,141706,22136
3D_mFFEXL-401/IM-0001-0181.jpg,18.632462011788522,104865,28834,141905,21894
3D_mFFEXL-401/IM-0001-0184.jpg,18.729249274278676,105477,28615,141882,22030
3D_mFFEXL-401/IM-0001-0187.jpg,18.491115247366096,106239,28931,141840,22207
3D_mFFEXL-401/IM-0001-0190.jpg,18.610846762601565,107041,29242,142314,22709
3D_mFFEXL-401/IM-0001-0193.jpg,18.565554742270287,107560,29213,142838,22816
3D_mFFEXL-401/IM-0001-0196.jpg,18.599744444647637,108325,28971,142922,22541
